# 1  Loci_20 Loci_12 
     Theta(M, F)  COUNT   AVG_LR MAX_HLOD     R2 ALPHA    DGF     MF PEN_DD PEN_Dd PEN_dd 
(0.0600, 0.0600)  21560   0.6070   0.3349 0.0000  0.70 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.0700, 0.0700)  21560   0.6210   0.3360 0.0000  0.75 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.0800, 0.0800)  21560   0.6352   0.3367 0.0000  0.75 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.0900, 0.0900)  21560   0.6495   0.3378 0.0000  0.80 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1000, 0.1000)  21560   0.6639   0.3385 0.0000  0.85 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1100, 0.1100)  21560   0.6783   0.3390 0.0000  0.90 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1200, 0.1200)  21560   0.6927   0.3393 0.0000  0.95 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1300, 0.1300)  21560   0.7070   0.3395 0.0000  1.00 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1400, 0.1400)  21560   0.7213   0.3389 0.0000  1.00 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1500, 0.1500)  21560   0.7355   0.3362 0.0000  1.00 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1600, 0.1600)  21560   0.7496   0.3318 0.0000  1.00 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1700, 0.1700)  21560   0.7634   0.3259 0.0000  1.00 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1800, 0.1800)  21560   0.7771   0.3187 0.0000  1.00 0.5000 0.6049  3.000 0.000 0.000  0.707 0.707 0.707  0.000 
(0.1900, 0.1900)  21560   0.7905   0.3291 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2000, 0.2000)  21560   0.8036   0.3412 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2100, 0.2100)  21560   0.8164   0.3494 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2200, 0.2200)  21560   0.8289   0.3540 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2300, 0.2300)  21560   0.8410   0.3555 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2400, 0.2400)  21560   0.8528   0.3539 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2500, 0.2500)  21560   0.8641   0.3495 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2600, 0.2600)  21560   0.8750   0.3427 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2700, 0.2700)  21560   0.8855   0.3335 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2800, 0.2800)  21560   0.8955   0.3223 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.2900, 0.2900)  21560   0.9051   0.3092 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3000, 0.3000)  21560   0.9142   0.2945 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3100, 0.3100)  21560   0.9228   0.2784 0.0000  1.00 0.7000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3200, 0.3200)  21560   0.9309   0.2611 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3300, 0.3300)  21560   0.9386   0.2429 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3400, 0.3400)  21560   0.9458   0.2240 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3500, 0.3500)  21560   0.9526   0.2044 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3600, 0.3600)  21560   0.9588   0.1845 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3700, 0.3700)  21560   0.9646   0.1644 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3800, 0.3800)  21560   0.9700   0.1445 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.3900, 0.3900)  21560   0.9748   0.1250 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.4000, 0.4000)  21560   0.9793   0.1061 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.4100, 0.4100)  21560   0.9833   0.0881 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.4200, 0.4200)  21560   0.9868   0.0711 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.4300, 0.4300)  21560   0.9899   0.0555 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.4400, 0.4400)  21560   0.9926   0.0415 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.4500, 0.4500)  21560   0.9949   0.0293 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.4600, 0.4600)  21560   0.9967   0.0190 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.4700, 0.4700)  21560   0.9982   0.0108 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.4800, 0.4800)  21560   0.9992   0.0048 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.4900, 0.4900)  21560   0.9998   0.0012 0.0000  1.00 0.9000 0.6049  3.000 3.000 0.000  0.707 0.707 0.707  0.000 
(0.5000, 0.5000)  21560   1.0000   0.0000 0.0000  0.05 0.0100 0.6049  -2.000 -3.000 -3.000  0.707 0.707 0.707  0.000 
# 3  Loci_20 Loci_14 
     Theta(M, F)  COUNT   AVG_LR MAX_HLOD     R2 ALPHA    DGF     MF PEN_DD PEN_Dd PEN_dd 
(0.0000, 0.0000)  21560   0.5810   0.3090 0.0000  1.00 0.9900 0.2787  1.000 1.000 -2.000  0.707 0.707 0.707  0.000 
(0.0100, 0.0100)  21560   0.5983   0.3025 0.0000  1.00 0.9900 0.2787  1.000 1.000 -2.000  0.707 0.707 0.707  0.000 
(0.0200, 0.0200)  21560   0.6162   0.2960 0.0000  1.00 0.9900 0.2787  1.000 1.000 -2.000  0.707 0.707 0.707  0.000 
(0.0300, 0.0300)  21560   0.6345   0.2895 0.0000  1.00 0.9900 0.2787  1.000 1.000 -2.000  0.707 0.707 0.707  0.000 
(0.0400, 0.0400)  21560   0.6533   0.2829 0.0000  1.00 0.9900 0.2787  1.000 1.000 -2.000  0.707 0.707 0.707  0.000 
(0.0500, 0.0500)  21560   0.6724   0.2763 0.0000  1.00 0.9900 0.2787  1.000 1.000 -2.000  0.707 0.707 0.707  0.000 
(0.0600, 0.0600)  21560   0.6917   0.2696 0.0000  1.00 0.9900 0.2787  1.000 1.000 -2.000  0.707 0.707 0.707  0.000 
(0.0700, 0.0700)  21560   0.7112   0.2628 0.0000  1.00 0.9900 0.2787  1.000 1.000 -2.000  0.707 0.707 0.707  0.000 
(0.0800, 0.0800)  21560   0.7307   0.2560 0.0000  1.00 0.9900 0.2787  1.000 1.000 -2.000  0.707 0.707 0.707  0.000 
(0.0900, 0.0900)  21560   0.7502   0.2492 0.0000  1.00 0.9900 0.2787  1.000 1.000 -2.000  0.707 0.707 0.707  0.000 
(0.1000, 0.1000)  21560   0.7694   0.2422 0.0000  1.00 0.9900 0.2787  1.000 1.000 -2.000  0.707 0.707 0.707  0.000 
(0.1100, 0.1100)  21560   0.7883   0.2352 0.0000  1.00 0.9900 0.2787  1.000 1.000 -2.000  0.707 0.707 0.707  0.000 
(0.1200, 0.1200)  21560   0.8068   0.2591 0.0000  0.85 0.7000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.1300, 0.1300)  21560   0.8248   0.3052 0.0000  0.95 0.7000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.1400, 0.1400)  21560   0.8421   0.3501 0.0000  1.00 0.7000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.1500, 0.1500)  21560   0.8587   0.3886 0.0000  1.00 0.7000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.1600, 0.1600)  21560   0.8745   0.4200 0.0000  1.00 0.7000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.1700, 0.1700)  21560   0.8895   0.4449 0.0000  1.00 0.7000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.1800, 0.1800)  21560   0.9035   0.4641 0.0000  1.00 0.7000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
